Elapsed_s,Generated_W,Consumed_W,Net_W,Illumination
338400.0,459.0,54.5,404.5,1.0
342000.0,459.0,54.5,404.5,1.0
345600.0,459.0,54.5,404.5,1.0
349200.0,459.0,54.5,404.5,1.0
352800.0,459.0,54.5,404.5,1.0
356400.0,459.0,54.5,404.5,1.0
360000.0,459.0,54.5,404.5,1.0
363600.0,459.0,54.5,404.5,1.0
367200.0,459.0,54.5,404.5,1.0
370800.0,459.0,54.5,404.5,1.0
374400.0,459.0,54.5,404.5,1.0
378000.0,459.0,54.5,404.5,1.0
381600.0,459.0,54.5,404.5,1.0
385200.0,459.0,54.5,404.5,1.0
388800.0,459.0,54.5,404.5,1.0
392400.0,459.0,54.5,404.5,1.0
396000.0,459.0,54.5,404.5,1.0
399600.0,459.0,54.5,404.5,1.0
403200.0,459.0,54.5,404.5,1.0
406800.0,459.0,54.5,404.5,1.0
410400.0,459.0,54.5,404.5,1.0
414000.0,459.0,54.5,404.5,1.0
417600.0,459.0,54.5,404.5,1.0
421200.0,459.0,54.5,404.5,1.0
424800.0,459.0,54.5,404.5,1.0
428400.0,459.0,54.5,404.5,1.0
432000.0,459.0,54.5,404.5,1.0
435600.0,459.0,54.5,404.5,1.0
439200.0,459.0,54.5,404.5,1.0
442800.0,459.0,54.5,404.5,1.0
446400.0,459.0,54.5,404.5,1.0
450000.0,459.0,54.5,404.5,1.0
453600.0,459.0,54.5,404.5,1.0
457200.0,459.0,54.5,404.5,1.0
460800.0,459.0,54.5,404.5,1.0
464400.0,459.0,54.5,404.5,1.0
468000.0,459.0,54.5,404.5,1.0
471600.0,459.0,54.5,404.5,1.0
475200.0,459.0,54.5,404.5,1.0
478800.0,459.0,54.5,404.5,1.0
482400.0,459.0,54.5,404.5,1.0
486000.0,459.0,54.5,404.5,1.0
489600.0,459.0,54.5,404.5,1.0
493200.0,459.0,54.5,404.5,1.0
496800.0,459.0,54.5,404.5,1.0
500400.0,459.0,54.5,404.5,1.0
504000.0,459.0,54.5,404.5,1.0
507600.0,459.0,54.5,404.5,1.0
511200.0,459.0,54.5,404.5,1.0
514800.0,459.0,54.5,404.5,1.0
518400.0,459.0,54.5,404.5,1.0
522000.0,459.0,54.5,404.5,1.0
525600.0,459.0,54.5,404.5,1.0
529200.0,459.0,54.5,404.5,1.0
532800.0,459.0,54.5,404.5,1.0
536400.0,459.0,54.5,404.5,1.0
540000.0,459.0,54.5,404.5,1.0
543600.0,459.0,54.5,404.5,1.0
547200.0,459.0,54.5,404.5,1.0
550800.0,459.0,54.5,404.5,1.0
554400.0,459.0,54.5,404.5,1.0
558000.0,459.0,54.5,404.5,1.0
561600.0,459.0,54.5,404.5,1.0
565200.0,459.0,54.5,404.5,1.0
568800.0,459.0,54.5,404.5,1.0
572400.0,459.0,54.5,404.5,1.0
576000.0,459.0,54.5,404.5,1.0
579600.0,459.0,54.5,404.5,1.0
583200.0,459.0,54.5,404.5,1.0
586800.0,459.0,54.5,404.5,1.0
590400.0,459.0,54.5,404.5,1.0
594000.0,459.0,54.5,404.5,1.0
597600.0,459.0,54.5,404.5,1.0
601200.0,459.0,54.5,404.5,1.0
604800.0,459.0,54.5,404.5,1.0
608400.0,459.0,54.5,404.5,1.0
612000.0,459.0,54.5,404.5,1.0
615600.0,459.0,54.5,404.5,1.0
619200.0,459.0,54.5,404.5,1.0
622800.0,459.0,54.5,404.5,1.0
626400.0,459.0,54.5,404.5,1.0
630000.0,459.0,54.5,404.5,1.0
633600.0,459.0,54.5,404.5,1.0
637200.0,459.0,54.5,404.5,1.0
640800.0,459.0,54.5,404.5,1.0
644400.0,459.0,54.5,404.5,1.0
648000.0,459.0,54.5,404.5,1.0
651600.0,459.0,54.5,404.5,1.0
655200.0,459.0,54.5,404.5,1.0
658800.0,459.0,54.5,404.5,1.0
662400.0,459.0,54.5,404.5,1.0
666000.0,459.0,54.5,404.5,1.0
669600.0,459.0,54.5,404.5,1.0
673200.0,459.0,54.5,404.5,1.0
676800.0,459.0,54.5,404.5,1.0
680400.0,459.0,54.5,404.5,1.0
684000.0,459.0,54.5,404.5,1.0
687600.0,459.0,54.5,404.5,1.0
691200.0,459.0,54.5,404.5,1.0
694800.0,459.0,54.5,404.5,1.0
698400.0,459.0,54.5,404.5,1.0
702000.0,459.0,54.5,404.5,1.0
705600.0,459.0,54.5,404.5,1.0
709200.0,459.0,54.5,404.5,1.0
712800.0,459.0,54.5,404.5,1.0
716400.0,459.0,54.5,404.5,1.0
720000.0,459.0,54.5,404.5,1.0
723600.0,459.0,54.5,404.5,1.0
727200.0,459.0,54.5,404.5,1.0
730800.0,459.0,54.5,404.5,1.0
734400.0,459.0,54.5,404.5,1.0
738000.0,459.0,54.5,404.5,1.0
741600.0,459.0,54.5,404.5,1.0
745200.0,459.0,54.5,404.5,1.0
748800.0,459.0,54.5,404.5,1.0
752400.0,459.0,54.5,404.5,1.0
756000.0,459.0,54.5,404.5,1.0
759600.0,459.0,54.5,404.5,1.0
763200.0,459.0,54.5,404.5,1.0
766800.0,459.0,54.5,404.5,1.0
770400.0,459.0,54.5,404.5,1.0
774000.0,459.0,54.5,404.5,1.0
777600.0,459.0,54.5,404.5,1.0
781200.0,459.0,54.5,404.5,1.0
784800.0,459.0,54.5,404.5,1.0
788400.0,459.0,54.5,404.5,1.0
792000.0,459.0,54.5,404.5,1.0
795600.0,459.0,54.5,404.5,1.0
799200.0,459.0,54.5,404.5,1.0
802800.0,459.0,54.5,404.5,1.0
806400.0,459.0,54.5,404.5,1.0
810000.0,459.0,54.5,404.5,1.0
813600.0,459.0,54.5,404.5,1.0
817200.0,459.0,54.5,404.5,1.0
820800.0,459.0,54.5,404.5,1.0
824400.0,459.0,54.5,404.5,1.0
828000.0,459.0,54.5,404.5,1.0
831600.0,459.0,54.5,404.5,1.0
835200.0,459.0,54.5,404.5,1.0
838800.0,459.0,54.5,404.5,1.0
842400.0,459.0,54.5,404.5,1.0
846000.0,459.0,54.5,404.5,1.0
849600.0,459.0,54.5,404.5,1.0
853200.0,459.0,54.5,404.5,1.0
856800.0,459.0,54.5,404.5,1.0
860400.0,459.0,54.5,404.5,1.0
864000.0,459.0,54.5,404.5,1.0
867600.0,459.0,54.5,404.5,1.0
871200.0,459.0,54.5,404.5,1.0
874800.0,459.0,54.5,404.5,1.0
878400.0,459.0,54.5,404.5,1.0
882000.0,459.0,54.5,404.5,1.0
885600.0,459.0,54.5,404.5,1.0
889200.0,459.0,54.5,404.5,1.0
892800.0,459.0,54.5,404.5,1.0
896400.0,459.0,54.5,404.5,1.0
900000.0,459.0,54.5,404.5,1.0
903600.0,459.0,54.5,404.5,1.0
907200.0,459.0,54.5,404.5,1.0
910800.0,459.0,54.5,404.5,1.0
914400.0,459.0,54.5,404.5,1.0
918000.0,459.0,54.5,404.5,1.0
921600.0,459.0,54.5,404.5,1.0
925200.0,459.0,54.5,404.5,1.0
928800.0,459.0,54.5,404.5,1.0
932400.0,459.0,54.5,404.5,1.0
936000.0,459.0,54.5,404.5,1.0
939600.0,459.0,54.5,404.5,1.0
943200.0,459.0,54.5,404.5,1.0
946800.0,459.0,54.5,404.5,1.0
950400.0,459.0,54.5,404.5,1.0
954000.0,459.0,54.5,404.5,1.0
957600.0,459.0,54.5,404.5,1.0
961200.0,459.0,54.5,404.5,1.0
964800.0,459.0,54.5,404.5,1.0
968400.0,459.0,54.5,404.5,1.0
972000.0,459.0,54.5,404.5,1.0
975600.0,459.0,54.5,404.5,1.0
979200.0,459.0,54.5,404.5,1.0
982800.0,459.0,54.5,404.5,1.0
986400.0,459.0,54.5,404.5,1.0
990000.0,459.0,54.5,404.5,1.0
993600.0,459.0,54.5,404.5,1.0
997200.0,459.0,54.5,404.5,1.0
1000800.0,459.0,54.5,404.5,1.0
1004400.0,459.0,54.5,404.5,1.0
1008000.0,459.0,54.5,404.5,1.0
1011600.0,459.0,54.5,404.5,1.0
1015200.0,459.0,54.5,404.5,1.0
1018800.0,459.0,54.5,404.5,1.0
1022400.0,459.0,54.5,404.5,1.0
1026000.0,459.0,54.5,404.5,1.0
1029600.0,459.0,54.5,404.5,1.0
1033200.0,459.0,54.5,404.5,1.0
1036800.0,459.0,54.5,404.5,1.0
1040400.0,459.0,54.5,404.5,1.0
1044000.0,459.0,54.5,404.5,1.0
1047600.0,459.0,54.5,404.5,1.0
1051200.0,459.0,54.5,404.5,1.0
1054800.0,459.0,54.5,404.5,1.0
1058400.0,459.0,54.5,404.5,1.0
1062000.0,459.0,54.5,404.5,1.0
1065600.0,459.0,54.5,404.5,1.0
1069200.0,459.0,54.5,404.5,1.0
1072800.0,459.0,54.5,404.5,1.0
1076400.0,459.0,54.5,404.5,1.0
1080000.0,459.0,54.5,404.5,1.0
1083600.0,459.0,54.5,404.5,1.0
1087200.0,459.0,54.5,404.5,1.0
1090800.0,459.0,54.5,404.5,1.0
1094400.0,459.0,54.5,404.5,1.0
1098000.0,459.0,54.5,404.5,1.0
1101600.0,459.0,54.5,404.5,1.0
1105200.0,459.0,54.5,404.5,1.0
1108800.0,459.0,54.5,404.5,1.0
1112400.0,459.0,54.5,404.5,1.0
1116000.0,459.0,54.5,404.5,1.0
1119600.0,459.0,54.5,404.5,1.0
1123200.0,459.0,54.5,404.5,1.0
1126800.0,459.0,54.5,404.5,1.0
1130400.0,459.0,54.5,404.5,1.0
1134000.0,459.0,54.5,404.5,1.0
1137600.0,459.0,54.5,404.5,1.0
1141200.0,459.0,54.5,404.5,1.0
1144800.0,459.0,54.5,404.5,1.0
1148400.0,459.0,54.5,404.5,1.0
1152000.0,459.0,54.5,404.5,1.0
1155600.0,459.0,54.5,404.5,1.0
