Elapsed_s,Battery_Wh
3967200.0,198.0
3970800.0,198.0
3974400.0,198.0
3978000.0,198.0
3981600.0,198.0
3985200.0,198.0
3988800.0,198.0
3992400.0,198.0
3996000.0,198.0
3999600.0,198.0
4003200.0,198.0
4006800.0,198.0
4010400.0,198.0
4014000.0,198.0
4017600.0,198.0
4021200.0,198.0
4024800.0,198.0
4028400.0,198.0
4032000.0,198.0
4035600.0,198.0
4039200.0,198.0
4042800.0,198.0
4046400.0,198.0
4050000.0,198.0
4053600.0,198.0
4057200.0,198.0
4060800.0,198.0
4064400.0,198.0
4068000.0,198.0
4071600.0,198.0
4075200.0,198.0
4078800.0,198.0
4082400.0,198.0
4086000.0,198.0
4089600.0,198.0
4093200.0,198.0
4096800.0,198.0
4100400.0,198.0
4104000.0,198.0
4107600.0,198.0
4111200.0,198.0
4114800.0,198.0
4118400.0,198.0
4122000.0,198.0
4125600.0,198.0
4129200.0,198.0
4132800.0,198.0
4136400.0,198.0
4140000.0,198.0
4143600.0,198.0
4147200.0,198.0
4150800.0,198.0
4154400.0,198.0
4158000.0,198.0
4161600.0,198.0
4165200.0,198.0
4168800.0,198.0
4172400.0,198.0
4176000.0,198.0
4179600.0,198.0
4183200.0,198.0
4186800.0,198.0
4190400.0,198.0
4194000.0,198.0
4197600.0,198.0
4201200.0,198.0
4204800.0,198.0
4208400.0,198.0
4212000.0,198.0
4215600.0,198.0
4219200.0,198.0
4222800.0,198.0
4226400.0,198.0
4230000.0,198.0
4233600.0,198.0
4237200.0,198.0
4240800.0,198.0
4244400.0,198.0
4248000.0,198.0
4251600.0,198.0
4255200.0,198.0
4258800.0,198.0
4262400.0,198.0
4266000.0,198.0
4269600.0,198.0
4273200.0,198.0
4276800.0,198.0
4280400.0,198.0
4284000.0,198.0
4287600.0,198.0
4291200.0,198.0
4294800.0,198.0
4298400.0,198.0
4302000.0,198.0
4305600.0,198.0
4309200.0,198.0
4312800.0,198.0
4316400.0,198.0
4320000.0,198.0
4323600.0,198.0
4327200.0,198.0
4330800.0,198.0
4334400.0,198.0
4338000.0,198.0
4341600.0,198.0
4345200.0,198.0
4348800.0,198.0
4352400.0,198.0
4356000.0,198.0
4359600.0,198.0
4363200.0,198.0
4366800.0,198.0
4370400.0,198.0
4374000.0,198.0
4377600.0,198.0
4381200.0,198.0
4384800.0,198.0
4388400.0,198.0
4392000.0,198.0
4395600.0,198.0
4399200.0,198.0
4402800.0,198.0
4406400.0,198.0
4410000.0,198.0
4413600.0,198.0
4417200.0,198.0
4420800.0,198.0
4424400.0,198.0
4428000.0,198.0
4431600.0,198.0
4435200.0,198.0
4438800.0,198.0
4442400.0,198.0
4446000.0,198.0
4449600.0,198.0
4453200.0,198.0
4456800.0,198.0
4460400.0,198.0
4464000.0,198.0
4467600.0,198.0
4471200.0,198.0
4474800.0,198.0
4478400.0,198.0
4482000.0,198.0
4485600.0,198.0
4489200.0,198.0
4492800.0,198.0
