Event_Midpoint_s,Duration_s
8877605.882630253,154.0003596904051
8888331.335514445,210.6452679000668
8941948.353120318,377.60239382816326
8952669.907677596,403.7200848751354
8963389.415605493,430.07626269889624
9000900.61649173,503.18868827690676
9006258.350024922,513.0951116294091
9011615.870571509,522.1546687317762
9016973.036761438,530.5102254117905
9022330.048341826,539.26535384116
9027687.291211786,548.6302117149262
9033044.490424844,556.2953065466647
9038401.147601066,565.7463860112885
9043757.258945767,575.6232228316915
9049112.978988297,584.2885036697796
9054468.388397116,593.2315181987597
9059823.412977554,601.1143277573753
9065178.27568045,607.4761064245306
9070533.175558006,614.6820972852449
9075887.845827635,622.4117104003986
9081242.33291903,630.6355418257513
9086596.505506165,638.3888901579754
9091950.183810126,646.0790068529614
9097303.644579543,653.0285444339686
9102656.773526141,659.6538783859294
9108009.631007971,666.4184558449534
9113362.639244223,674.0350774420835
9118715.760391252,680.328763489932
9124068.300737504,687.8875343440313
9129420.254668815,695.7509024465439
9134771.793930788,702.7851506284796
9140122.964276277,710.082653226278
9145473.77461941,716.6749324479636
9150824.343328303,722.0641165698512
9156174.951297067,727.8362403064181
9161525.396488523,734.3801033154587
9166875.417255599,741.3954259931214
9172225.160263626,747.6932196615476
9177574.517890286,754.1735780620477
9182923.520017011,760.3900287335068
9188272.208539218,765.8997264436412
9193620.596974256,771.5588562922148
9198969.033600897,778.261431416135
9204317.600982264,783.5592633735478
9209665.674004402,789.9197094271819
9215013.124349292,796.6354280149876
9220360.016596723,803.0212015700009
9225706.560120974,809.2192577689157
9231052.737634009,815.2518766322768
9236398.534991158,820.0526647856113
9241744.368742539,825.1107441870095
9247090.01702364,830.4122329874479
9252435.324692143,836.5476889205592
9257780.292155998,842.1940231051717
9263124.73624515,848.0198808568134
9268468.857499188,853.5543609664044
9273812.64406938,858.5869954284854
9279156.014946073,863.5413737538818
9284499.330186255,869.3220267123569
9289842.86347476,874.1881609649672
9295185.886257522,879.6610815609247
9300528.296339888,885.5568273950662
9305870.08834135,891.2064810957471
9311211.485626737,896.6392989201536
9316552.466210244,902.120383242717
9321893.009073837,906.6071395993788
9327233.524565889,910.986862181066
9332573.912347488,915.5959613644948
9337913.917750625,921.2325915783117
9343253.504408082,926.4578015812616
9348592.55906544,931.5490159005444
9353931.291031409,936.5886767858519
9359269.59927605,941.2420899050899
9364607.453925654,945.6347378561175
9369945.141444638,950.8361012438704
9375283.03687362,955.5165699317458
9380620.510267574,960.3373723218651
9385957.328958565,965.6713242483045
9391293.436692262,971.0153835574208
9396629.11537213,976.1115394178008
9401964.296995558,981.2523780280649
9407299.001463342,985.5770863463563
9412633.560732735,989.5984626422978
9417967.959774787,993.8322808951083
9423301.957115887,998.8771775702094
9428635.527338568,1003.9272587810373
9433968.51420103,1008.7776171668206
9439301.057367887,1013.487911548142
9444633.174152156,1017.9064847002844
9449964.769039106,1022.1337272329991
9455296.077913305,1026.881171273173
9460627.512966786,1031.478437315426
9465958.637311744,1035.8319110075674
9471289.014689784,1040.7703482174466
