Elapsed_s,Thrust_On,Propellant_Remaining_kg,Cycles
763200.0,False,20.0,0
766800.0,False,20.0,0
770400.0,False,20.0,0
774000.0,False,20.0,0
777600.0,False,20.0,0
781200.0,False,20.0,0
784800.0,False,20.0,0
788400.0,False,20.0,0
792000.0,False,20.0,0
795600.0,False,20.0,0
799200.0,False,20.0,0
802800.0,False,20.0,0
806400.0,False,20.0,0
810000.0,False,20.0,0
813600.0,False,20.0,0
817200.0,False,20.0,0
820800.0,False,20.0,0
824400.0,False,20.0,0
828000.0,False,20.0,0
831600.0,False,20.0,0
835200.0,False,20.0,0
838800.0,False,20.0,0
842400.0,False,20.0,0
846000.0,False,20.0,0
849600.0,False,20.0,0
853200.0,False,20.0,0
856800.0,False,20.0,0
860400.0,False,20.0,0
864000.0,False,20.0,0
867600.0,False,20.0,0
871200.0,False,20.0,0
874800.0,False,20.0,0
878400.0,False,20.0,0
882000.0,False,20.0,0
885600.0,False,20.0,0
889200.0,False,20.0,0
892800.0,False,20.0,0
896400.0,False,20.0,0
900000.0,False,20.0,0
903600.0,False,20.0,0
907200.0,False,20.0,0
910800.0,False,20.0,0
914400.0,False,20.0,0
918000.0,False,20.0,0
921600.0,False,20.0,0
925200.0,False,20.0,0
928800.0,False,20.0,0
932400.0,False,20.0,0
936000.0,False,20.0,0
939600.0,False,20.0,0
943200.0,False,20.0,0
946800.0,False,20.0,0
950400.0,False,20.0,0
954000.0,False,20.0,0
957600.0,False,20.0,0
961200.0,False,20.0,0
964800.0,False,20.0,0
968400.0,False,20.0,0
972000.0,False,20.0,0
975600.0,False,20.0,0
979200.0,False,20.0,0
982800.0,False,20.0,0
986400.0,False,20.0,0
990000.0,False,20.0,0
993600.0,False,20.0,0
997200.0,False,20.0,0
1000800.0,False,20.0,0
1004400.0,False,20.0,0
1008000.0,False,20.0,0
1011600.0,False,20.0,0
1015200.0,False,20.0,0
1018800.0,False,20.0,0
1022400.0,True,19.997132048151,1
1026000.0,True,19.997132048151,1
1029600.0,True,19.994264096301997,2
1033200.0,True,19.994264096301997,2
1036800.0,True,19.991396144452995,3
1040400.0,True,19.991396144452995,3
1044000.0,True,19.988528192603994,4
1047600.0,True,19.988528192603994,4
1051200.0,True,19.985660240754992,5
1054800.0,True,19.985660240754992,5
1058400.0,True,19.98279228890599,6
1062000.0,True,19.98279228890599,6
1065600.0,True,19.97992433705699,7
1069200.0,True,19.97992433705699,7
1072800.0,True,19.977056385207987,8
1076400.0,True,19.977056385207987,8
1080000.0,True,19.974188433358986,9
1083600.0,True,19.974188433358986,9
1087200.0,True,19.971320481509984,10
1090800.0,True,19.971320481509984,10
1094400.0,True,19.971320481509984,10
1098000.0,True,19.968452529660983,11
1101600.0,True,19.968452529660983,11
1105200.0,True,19.96558457781198,12
1108800.0,True,19.96558457781198,12
1112400.0,True,19.96271662596298,13
1116000.0,True,19.96271662596298,13
1119600.0,True,19.959848674113978,14
1123200.0,True,19.959848674113978,14
1126800.0,True,19.956980722264976,15
1130400.0,True,19.956980722264976,15
1134000.0,True,19.954112770415975,16
1137600.0,True,19.954112770415975,16
1141200.0,True,19.951244818566973,17
1144800.0,True,19.951244818566973,17
1148400.0,True,19.94837686671797,18
1152000.0,True,19.94837686671797,18
1155600.0,True,19.94550891486897,19
1159200.0,True,19.94550891486897,19
1162800.0,True,19.94264096301997,20
1166400.0,True,19.94264096301997,20
1170000.0,True,19.939773011170967,21
1173600.0,True,19.939773011170967,21
1177200.0,True,19.936905059321965,22
1180800.0,True,19.936905059321965,22
1184400.0,True,19.934037107472964,23
1188000.0,True,19.934037107472964,23
1191600.0,True,19.931169155623962,24
1195200.0,True,19.931169155623962,24
1198800.0,True,19.92830120377496,25
1202400.0,True,19.92830120377496,25
1206000.0,True,19.92543325192596,26
1209600.0,True,19.92543325192596,26
1213200.0,True,19.922565300076958,27
1216800.0,True,19.922565300076958,27
1220400.0,True,19.919697348227956,28
1224000.0,True,19.919697348227956,28
1227600.0,True,19.916829396378954,29
1231200.0,True,19.916829396378954,29
1234800.0,True,19.913961444529953,30
1238400.0,True,19.913961444529953,30
1242000.0,True,19.91109349268095,31
1245600.0,True,19.91109349268095,31
1249200.0,True,19.90822554083195,32
1252800.0,True,19.90822554083195,32
1256400.0,True,19.905357588982948,33
1260000.0,True,19.905357588982948,33
1263600.0,True,19.902489637133947,34
1267200.0,True,19.902489637133947,34
1270800.0,True,19.899621685284945,35
1274400.0,True,19.899621685284945,35
1278000.0,True,19.896753733435943,36
1281600.0,True,19.896753733435943,36
1285200.0,True,19.893885781586942,37
1288800.0,True,19.893885781586942,37
1292400.0,True,19.89101782973794,38
1296000.0,True,19.89101782973794,38
1299600.0,True,19.88814987788894,39
1303200.0,True,19.88814987788894,39
1306800.0,True,19.885281926039937,40
1310400.0,True,19.885281926039937,40
1314000.0,True,19.882413974190936,41
1317600.0,True,19.882413974190936,41
1321200.0,True,19.879546022341934,42
1324800.0,True,19.879546022341934,42
1328400.0,True,19.876678070492932,43
1332000.0,True,19.876678070492932,43
1335600.0,True,19.87381011864393,44
1339200.0,True,19.87381011864393,44
1342800.0,True,19.87094216679493,45
1346400.0,True,19.87094216679493,45
1350000.0,True,19.868074214945928,46
1353600.0,True,19.868074214945928,46
1357200.0,True,19.865206263096926,47
1360800.0,True,19.865206263096926,47
1364400.0,True,19.862338311247925,48
1368000.0,True,19.862338311247925,48
1371600.0,True,19.859470359398923,49
1375200.0,True,19.859470359398923,49
1378800.0,True,19.85660240754992,50
1382400.0,True,19.85660240754992,50
1386000.0,True,19.85373445570092,51
1389600.0,True,19.85373445570092,51
1393200.0,True,19.85086650385192,52
1396800.0,True,19.85086650385192,52
1400400.0,True,19.847998552002917,53
1404000.0,True,19.847998552002917,53
1407600.0,True,19.845130600153915,54
1411200.0,True,19.845130600153915,54
1414800.0,True,19.842262648304914,55
1418400.0,True,19.842262648304914,55
1422000.0,True,19.839394696455912,56
1425600.0,True,19.839394696455912,56
1429200.0,True,19.83652674460691,57
1432800.0,True,19.83652674460691,57
1436400.0,True,19.83365879275791,58
1440000.0,True,19.83365879275791,58
1443600.0,True,19.830790840908907,59
1447200.0,True,19.830790840908907,59
1450800.0,True,19.827922889059906,60
1454400.0,True,19.827922889059906,60
1458000.0,True,19.825054937210904,61
1461600.0,True,19.825054937210904,61
1465200.0,True,19.822186985361903,62
1468800.0,True,19.822186985361903,62
1472400.0,True,19.8193190335129,63
1476000.0,True,19.8193190335129,63
1479600.0,True,19.8164510816639,64
