Elapsed_s,SMA_km,Eccentricity,Inclination_deg,RAAN_deg
0.0,6638.136999999999,9.99999993922529e-09,96.7,11.500000000000002
3600.0,6623.052033890788,0.001138592731054088,96.70707294645497,11.538546706992738
7200.0,6623.871035503492,0.0010188527164133622,96.70851891602825,11.588817434696224
10800.0,6637.81222428202,8.279786056527059e-05,96.7017171663423,11.625227728293938
14400.0,6621.805519708255,0.0012872650421354621,96.71160644022937,11.664353836916902
18000.0,6624.489914474635,0.0008328747878468581,96.71117122951875,11.715327806527126
21600.0,6637.367354110543,0.0001833696324410027,96.70523486173651,11.752563102202112
25200.0,6620.671151016226,0.001419650927780675,96.71407662311864,11.792047797370799
28800.0,6625.148068278255,0.0006473575768360542,96.71091042484043,11.842207171552259
32400.0,6636.653818416096,0.000289370917617454,96.7051678675668,11.87835200537684
36000.0,6619.718324211728,0.0015177082667032933,96.71145066507478,11.917596456183942
39600.0,6625.811490473898,0.0005355741752233838,96.70892627501692,11.968210032870752
43200.0,6636.012259594192,0.00036709945570457343,96.7015984421563,12.005311097148006
46800.0,6618.811180256849,0.001661230034634506,96.71075383063625,12.047159666257599
50400.0,6626.532542946165,0.00041468167970179227,96.706758865761,12.09730979450293
54000.0,6635.110469315578,0.00044934070586871694,96.70345687224614,12.132189088170895
57600.0,6617.875756922298,0.0017595464714125102,96.71369271498779,12.173644937326328
61200.0,6627.366503912497,0.00027224617920601284,96.70942127452625,12.22269918581531
64800.0,6634.168062953731,0.0005438463436115379,96.70680016352189,12.256689332466191
68400.0,6617.030684531594,0.001843178660281389,96.71558255666,12.29919245998817
72000.0,6628.130874707662,0.00016081323892008927,96.71072140518147,12.347903036795929
75600.0,6633.160923057738,0.0006703589529879926,96.70688179220328,12.381486288902144
79200.0,6616.328862947779,0.0019558959163268126,96.7143453239447,12.426221212194829
82800.0,6628.772602730705,0.00021891329039059148,96.705819765081,12.474419992925007
86400.0,6631.855275745391,0.0008010169602484886,96.70318635025657,12.506193139931034
90000.0,6615.802580812127,0.0020194439934846905,96.71118874931526,12.551986390881266
93600.0,6629.5198571737155,0.0003298690840362793,96.7061235414116,12.599006364562332
97200.0,6630.666898969022,0.0009084745778571224,96.70612625711983,12.631835218360765
100800.0,6615.357722955172,0.002096538542506669,96.71535115064735,12.678469252500978
104400.0,6630.202510761071,0.0005105917012981615,96.70883038022997,12.725065017215744
108000.0,6629.301324786595,0.0010450440909771058,96.70988980174168,12.75941660350736
111600.0,6615.068043855081,0.002160726359416774,96.71758243730005,12.807030136988477
115200.0,6630.870524861137,0.0006900606346888798,96.70897446268857,12.851612503718824
118800.0,6627.760152847259,0.0011926116062969806,96.70969306727685,12.885564725927535
122400.0,6614.958388588722,0.0021913875518879845,96.71463152608108,12.933095693537995
126000.0,6631.371131537405,0.0007787963657382003,96.70618009059542,12.977700567271608
129600.0,6626.199529056114,0.001300371523229226,96.70720851123907,13.013090126472303
133200.0,6614.933106677795,0.0022031351242536175,96.71320633095335,13.062811581688173
136800.0,6631.743312005216,0.0008553195571105288,96.70485467216501,13.106002071145792
140400.0,6624.591883751732,0.0013685725471948933,96.70944420719715,13.140829575790358
144000.0,6615.000223326519,0.0021820636912992307,96.71553186031211,13.189505305689964
147600.0,6632.149657803341,0.0009624492819885262,96.70763918077854,13.231209395308193
151200.0,6622.956009631712,0.0014966783956911495,96.71297729548164,13.265892287166965
154800.0,6615.239673095334,0.0021650980893491737,96.71699034940683,13.314968153598514
158400.0,6632.323304258968,0.0010615995330735038,96.70896774579288,13.356218453073222
162000.0,6621.338954787395,0.0016460102112706226,96.71329037337543,13.391066902966763
165600.0,6615.731187384856,0.0021620150915426404,96.71546685528305,13.441705801887938
169200.0,6632.397387704375,0.00114726785212978,96.70493612242893,13.482311554453457
172800.0,6619.682219299276,0.0017763095454411903,96.71005289198784,13.516869253874006
176400.0,6616.461035663354,0.002085403573617998,96.71157645572228,13.567529895711617
180000.0,6632.247264461566,0.0011631828715954924,96.70502813483536,13.606732914199258
183600.0,6618.163319121429,0.00185405199974328,96.71328837997507,13.643450557615202
187200.0,6617.153323892362,0.002011743245283387,96.71491323316872,13.694486157436975
190800.0,6631.94308974204,0.0011993715872733058,96.70848099047973,13.732407897329605
194400.0,6616.638122523521,0.0019302790422371984,96.71697597582165,13.771610902671995
198000.0,6617.897578022384,0.00194691476806784,96.71668417524266,13.823179910297707
201600.0,6631.526963367343,0.0012170330554089248,96.70964483513607,13.858917972823697
205200.0,6615.102243130673,0.0020157365244351517,96.71608304909437,13.897819121668396
208800.0,6618.81544573156,0.0018525351153926973,96.71335956277518,13.94900307352642
212400.0,6630.725780054955,0.0011387744407743326,96.70616569262641,13.98488921455613
216000.0,6613.693772101425,0.0020536298515687894,96.7144526345654,14.026983603165945
219600.0,6619.755396417756,0.00168821284743079,96.71113075569977,14.078635750819467
223200.0,6629.751323081394,0.000995870158073061,96.70686713013376,14.11316335197038
226800.0,6612.486878609571,0.0020326549275976403,96.71611265771847,14.155776328397021
230400.0,6620.7415139390705,0.0015252102107400436,96.71296323545944,14.204967200470993
234000.0,6628.7107003280635,0.0009032362916743735,96.71015094588101,14.238587827777616
237600.0,6611.380676249882,0.002050341788726108,96.71934056358721,14.281527357248503
241200.0,6621.8077039507425,0.001391402682701859,96.71422002469492,14.329851760479611
244800.0,6627.357105265595,0.0007941763515472736,96.71174455695872,14.363720693694235
248400.0,6610.505471655926,0.0020449846748604827,96.71942374482074,14.40719095255899
252000.0,6622.7740298866265,0.0012901968074503342,96.71265065282087,14.45597559646066
255600.0,6625.976106352928,0.0006573293994903279,96.70873806634926,14.490108539857673
259200.0,6609.935321913787,0.002010866233591862,96.71574835334043,14.534343827328536
262800.0,6623.852546636003,0.0011145581299053463,96.70874494963466,14.580854118001227
266400.0,6624.3279298927355,0.0004667134084509725,96.70928602816434,14.61500395094726
270000.0,6609.439417974134,0.001924997933923996,96.71831688256967,14.661849083699833
273600.0,6624.729148143522,0.0009362650871469328,96.7114726096754,14.707604043835786
277200.0,6622.512606299382,0.0002727359535045221,96.71404291281203,14.741297861637918
280800.0,6609.10825111984,0.0018020158505244381,96.72131519232354,14.790081696868144
284400.0,6625.446942836161,0.0007865228422675905,96.7133281172599,14.83575998987784
288000.0,6620.569815950503,0.0001404938527105981,96.71568612832502,14.86844440333838
291600.0,6609.117796911595,0.0016592301956981287,96.71958806957427,14.916396296282958
295200.0,6626.080654959666,0.0006396554802836812,96.71072958881906,14.960746185291189
298800.0,6618.618787509974,0.00026066662872968095,96.71271972971304,14.994995261638305
302400.0,6609.363954520224,0.0015015484676006463,96.71743368583294,15.046154096839539
306000.0,6626.505299127906,0.00043758707571302105,96.7081554232654,15.089954510903569
309600.0,6616.719398027495,0.0005439796797270433,96.71399401971516,15.124400444961376
313200.0,6609.826161174989,0.001299203743600155,96.71784186409492,15.175387900605232
316800.0,6626.694035690961,0.0002847161180278785,96.7104507483803,15.215718963733929
320400.0,6614.630829554823,0.0007941944538651509,96.7176432695402,15.25083479926902
324000.0,6610.5355165768215,0.0010870682403729777,96.72026114400077,15.301264273799841
327600.0,6626.70326646127,0.00024037946668373193,96.71231580420829,15.340222254251639
