Elapsed_s,Altitude_km,Density_kg_m3,Inclination_deg,Eccentricity,RAAN_deg
0.0,380.0000246661363,3.4418911430645953e-12,96.74,9.99999993922529e-09,11.080000000000002
3600.0,386.81985152496975,1.9696407168129776e-12,96.74671048697223,0.0008229289988260434,11.115403054010272
7200.0,391.45361127263646,1.40404411159636e-12,96.74880589162329,0.0014681757422352578,11.163503049204722
10800.0,381.0428011365761,3.1941280348598555e-12,96.74195080876962,0.00039515411188915375,11.202789625080385
14400.0,381.1128938652578,1.934226296174246e-12,96.74676653973042,0.00017633721388073264,11.234568982412727
18000.0,394.1724247885424,1.5795313727020729e-12,96.75286574500889,0.0018870584796696474,11.279617958625083
21600.0,384.5094205355705,2.954174061094436e-12,96.74661403453368,0.0009098984332816655,11.322674369220033
25200.0,376.02782640536554,2.0831795331089038e-12,96.74600184697765,0.0006346520239899255,11.354011799130445
28800.0,394.23341096072903,1.684957927410518e-12,96.7540575434332,0.001997928717443396,11.394896038833844
32400.0,389.00643023513953,2.8978210852874466e-12,96.7497904775925,0.0014842236369208884,11.44125223927598
36000.0,373.1367866784621,2.1855193638357442e-12,96.74244247503243,0.0010096837555737068,11.4758664315914
39600.0,391.88571972640045,1.8938381772359606e-12,96.74837369621967,0.0018048143921783268,11.511422102705342
43200.0,392.9101516521508,2.9063863134965293e-12,96.74834479220065,0.0019059621754400566,11.558795441497853
46800.0,373.52872580849356,2.1812999296525977e-12,96.74067774685017,0.0009554163374281319,11.596852672998352
50400.0,387.9334662989864,2.304912842610881e-12,96.74643605575739,0.001363478586911613,11.629127149648102
54000.0,394.65455514870496,2.5981908420503257e-12,96.75176465709394,0.002046029040653098,11.67549080322908
57600.0,376.665052185009,1.9190181708608534e-12,96.74565057660153,0.0005448805011368969,11.717684510410175
61200.0,383.7058677634264,2.8973265158261035e-12,96.74689610553587,0.0008505016423599079,11.749931143714674
64800.0,393.7743231402246,2.2507007667486615e-12,96.75526880029624,0.0018677801040517807,11.793069051697763
68400.0,381.62801491209683,1.4830632634806408e-12,96.75005433328406,0.0001786911118751393,11.838975861074669
72000.0,381.03243156568493,3.370492417542842e-12,96.74582137755169,0.0003942924449736018,11.872661775024612
75600.0,390.17827516309336,2.153372103952652e-12,96.75260908747389,0.0013328037202226279,11.909215888207482
79200.0,387.38651934169786,1.324388412873055e-12,96.75105860736792,0.0009238809781575595,11.956227201928224
82800.0,380.6574226246215,3.368540598521918e-12,96.74277649494115,0.0001429204447602959,11.994071832277205
86400.0,384.81658781916303,1.955256225015393e-12,96.74752969457258,0.0005712332631727278,12.028890633769604
90000.0,391.92727812384766,1.4650396060701857e-12,96.75060476213955,0.001569900518815887,12.07695062157955
93600.0,382.4007543893889,3.092412897318266e-12,96.74346182887012,0.0005720043989431608,12.118197185260115
97200.0,379.1846163764084,1.974305474074723e-12,96.74669624582391,0.00020282335171635066,12.149476421054704
100800.0,394.01626641315596,1.6470423582729679e-12,96.75394382639477,0.001926954185894779,12.193966291477853
104400.0,386.161331087958,2.948328212308745e-12,96.74854131299185,0.0011346993292464472,12.238078647635252
108000.0,374.48638088664774,2.153713276213927e-12,96.74686234888752,0.0008146010776698178,12.269449411809408
111600.0,393.50647625988506,1.766767155770768e-12,96.75540356028115,0.001981103867881043,12.3093228287565
115200.0,390.47621247442817,2.9437428950674903e-12,96.75251744976795,0.001689840849530033,12.355597625057245
118800.0,372.24367948872464,2.2453931249113917e-12,96.74544731169945,0.0011099574486304028,12.391019230709025
122400.0,390.7568023496929,2.004295133069477e-12,96.75078573384215,0.0017561475209859287,12.42579501423565
126000.0,393.95306648023796,2.8719656259613634e-12,96.75194241901369,0.0020700151030494844,12.473267768917413
129600.0,373.4223486756697,2.170722763835353e-12,96.74290089488791,0.0009684915879739314,12.512600033983656
133200.0,386.89428407168475,2.445710469185051e-12,96.74657560719055,0.0013132232869704874,12.543740178905407
136800.0,394.81890746143245,2.541207890565011e-12,96.75220694424863,0.0020907447325250366,12.589410475745183
140400.0,377.2882088173466,1.851938497360963e-12,96.7470605579332,0.00044804900862876725,12.632802196705711
144000.0,383.01060567867506,3.0238037635488144e-12,96.74710253949135,0.0007971334815837914,12.664491198960567
147600.0,393.0482607458833,2.2573178413743236e-12,96.75611325186985,0.0017944389278280598,12.706329245370243
151200.0,382.5491860058049,1.469884759604062e-12,96.75251977096791,0.0002825045022861805,12.753347035015473
154800.0,380.9941476696955,3.3924764120222164e-12,96.74769991375518,0.0003431486479669809,12.787849413474135
158400.0,388.6978584019318,2.14096727420066e-12,96.75518324893238,0.001162569566160817,12.82383886739277
162000.0,388.0331603435256,1.3775399884337122e-12,96.75369271665359,0.001035643541812403,12.870800728851535
165600.0,381.4812084834688,3.272699527157535e-12,96.74618403463528,0.00030574019986316257,12.908776497089162
169200.0,382.7244214813629,1.9653477036079516e-12,96.7491377691329,0.0003175219201399555,12.942203726760772
172800.0,392.29948990347543,1.5352410886715419e-12,96.75353087497197,0.0016747089843834192,12.98981530440454
176400.0,383.86305810339843,2.9943812838730428e-12,96.74544840101568,0.0007886646426449555,13.033111398120289
180000.0,377.314587157,2.0392386139033734e-12,96.74695901047362,0.00042166362274494694,13.064410277523923
183600.0,393.7739034697374,1.7207405592662149e-12,96.75461822647198,0.001967373470657042,13.108243686852768
187200.0,387.7830354430389,2.9537119130027944e-12,96.75035350164961,0.0013619910243183532,13.153159505977875
190800.0,373.1476112966157,2.2232212409577577e-12,96.74790193269669,0.0009816082021345232,13.185151360700207
194400.0,392.68152353889457,1.864715346131514e-12,96.75618156859859,0.0019601965498712076,13.223716649731017
198000.0,391.89311142613485,2.955948263432101e-12,96.75495297744683,0.0018901102091016379,13.270369862154908
