Elapsed_s,Battery_Wh
0.0,800.0
3600.0,800.0
7200.0,800.0
10800.0,800.0
14400.0,800.0
18000.0,800.0
21600.0,800.0
25200.0,800.0
28800.0,800.0
32400.0,800.0
36000.0,800.0
39600.0,800.0
43200.0,800.0
46800.0,800.0
50400.0,800.0
54000.0,800.0
57600.0,800.0
61200.0,800.0
64800.0,800.0
68400.0,800.0
72000.0,800.0
75600.0,800.0
79200.0,800.0
82800.0,800.0
86400.0,800.0
90000.0,800.0
93600.0,800.0
97200.0,800.0
100800.0,800.0
104400.0,800.0
108000.0,800.0
111600.0,800.0
115200.0,800.0
118800.0,800.0
122400.0,800.0
126000.0,800.0
129600.0,800.0
133200.0,800.0
136800.0,800.0
140400.0,800.0
144000.0,800.0
147600.0,800.0
151200.0,800.0
154800.0,800.0
158400.0,800.0
162000.0,800.0
165600.0,800.0
169200.0,800.0
172800.0,800.0
176400.0,800.0
180000.0,800.0
183600.0,800.0
187200.0,800.0
190800.0,800.0
194400.0,800.0
198000.0,800.0
201600.0,800.0
205200.0,800.0
208800.0,800.0
212400.0,800.0
216000.0,800.0
219600.0,800.0
223200.0,800.0
226800.0,800.0
230400.0,800.0
234000.0,800.0
237600.0,800.0
241200.0,800.0
244800.0,800.0
248400.0,800.0
252000.0,800.0
255600.0,800.0
259200.0,800.0
262800.0,800.0
266400.0,800.0
270000.0,800.0
273600.0,800.0
277200.0,800.0
280800.0,800.0
284400.0,800.0
288000.0,800.0
291600.0,800.0
295200.0,800.0
298800.0,800.0
302400.0,800.0
306000.0,800.0
309600.0,800.0
313200.0,800.0
316800.0,800.0
320400.0,800.0
324000.0,800.0
327600.0,800.0
331200.0,800.0
334800.0,800.0
338400.0,800.0
342000.0,800.0
345600.0,800.0
349200.0,800.0
352800.0,800.0
356400.0,800.0
360000.0,800.0
363600.0,800.0
367200.0,800.0
370800.0,800.0
374400.0,800.0
378000.0,800.0
381600.0,800.0
385200.0,800.0
388800.0,800.0
392400.0,800.0
396000.0,800.0
399600.0,800.0
403200.0,800.0
406800.0,800.0
410400.0,800.0
414000.0,800.0
417600.0,800.0
421200.0,800.0
424800.0,800.0
428400.0,800.0
432000.0,800.0
435600.0,800.0
439200.0,800.0
442800.0,800.0
446400.0,800.0
450000.0,800.0
453600.0,800.0
457200.0,800.0
460800.0,800.0
464400.0,800.0
468000.0,800.0
471600.0,800.0
475200.0,800.0
478800.0,800.0
482400.0,800.0
486000.0,800.0
489600.0,800.0
493200.0,800.0
496800.0,800.0
500400.0,800.0
504000.0,800.0
507600.0,800.0
511200.0,800.0
514800.0,800.0
518400.0,800.0
522000.0,800.0
525600.0,800.0
529200.0,800.0
532800.0,800.0
536400.0,800.0
540000.0,800.0
543600.0,800.0
547200.0,800.0
550800.0,800.0
554400.0,800.0
558000.0,800.0
561600.0,800.0
565200.0,800.0
568800.0,800.0
572400.0,800.0
576000.0,800.0
579600.0,800.0
583200.0,800.0
586800.0,800.0
590400.0,800.0
594000.0,800.0
597600.0,800.0
601200.0,800.0
604800.0,800.0
608400.0,800.0
612000.0,800.0
615600.0,800.0
619200.0,800.0
622800.0,800.0
626400.0,800.0
630000.0,800.0
633600.0,800.0
637200.0,742.6315789473684
640800.0,800.0
644400.0,800.0
648000.0,742.6315789473684
651600.0,800.0
655200.0,800.0
658800.0,800.0
662400.0,800.0
666000.0,800.0
669600.0,800.0
673200.0,800.0
676800.0,800.0
680400.0,800.0
684000.0,800.0
687600.0,800.0
691200.0,800.0
694800.0,800.0
698400.0,800.0
702000.0,800.0
705600.0,800.0
709200.0,800.0
712800.0,800.0
716400.0,800.0
720000.0,800.0
723600.0,800.0
727200.0,800.0
730800.0,800.0
734400.0,800.0
738000.0,800.0
741600.0,800.0
745200.0,800.0
748800.0,800.0
752400.0,800.0
756000.0,800.0
759600.0,742.6315789473684
763200.0,800.0
766800.0,800.0
770400.0,742.6315789473684
774000.0,800.0
777600.0,800.0
781200.0,800.0
784800.0,800.0
788400.0,800.0
792000.0,800.0
795600.0,425.7894736842106
799200.0,789.8394736842106
802800.0,415.62894736842117
806400.0,779.6789473684212
810000.0,405.46842105263175
813600.0,769.5184210526318
817200.0,395.30789473684234
820800.0,759.3578947368424
824400.0,385.14736842105293
828000.0,749.1973684210529
831600.0,374.9868421052635
835200.0,739.0368421052635
838800.0,364.8263157894741
842400.0,728.8763157894741
846000.0,354.6657894736847
849600.0,512.1657894736848
853200.0,800.0
856800.0,425.7894736842106
860400.0,368.421052631579
864000.0,732.471052631579
867600.0,358.2605263157896
871200.0,300.89210526315804
874800.0,664.942105263158
878400.0,290.73157894736863
882000.0,654.7815789473686
885600.0,280.5710526315792
889200.0,644.6210526315792
892800.0,270.4105263157898
896400.0,634.4605263157898
900000.0,260.2500000000004
903600.0,624.3000000000004
907200.0,250.089473684211
910800.0,614.139473684211
914400.0,239.92894736842157
918000.0,603.9789473684216
921600.0,229.76842105263216
925200.0,593.8184210526322
928800.0,219.60789473684275
932400.0,583.6578947368428
936000.0,800.0
939600.0,425.7894736842106
943200.0,789.8394736842106
946800.0,415.62894736842117
950400.0,779.6789473684212
954000.0,405.46842105263175
957600.0,769.5184210526318
961200.0,153.72894736842125
964800.0,517.7789473684213
968400.0,800.0
972000.0,184.21052631578948
975600.0,548.2605263157895
979200.0,800.0
982800.0,184.21052631578948
986400.0,548.2605263157895
990000.0,800.0
993600.0,425.7894736842106
997200.0,789.8394736842106
1000800.0,415.62894736842117
1004400.0,779.6789473684212
1008000.0,405.46842105263175
1011600.0,769.5184210526318
1015200.0,395.30789473684234
1018800.0,759.3578947368424
1022400.0,385.14736842105293
1026000.0,749.1973684210529
1029600.0,374.9868421052635
1033200.0,739.0368421052635
1036800.0,364.8263157894741
1040400.0,728.8763157894741
1044000.0,354.6657894736847
1047600.0,718.7157894736847
1051200.0,344.5052631578953
1054800.0,708.5552631578953
1058400.0,334.3447368421059
1062000.0,698.3947368421059
