Event_Midpoint_s,Duration_s
9734353.01843482,267.8668425180682
9745335.408060027,293.2617334444418
9816720.012569863,407.04919284553716
9838682.887800416,438.5641212718425
9849664.50920897,450.45349629310954
9893590.069020934,500.0659748327231
9899080.954736907,506.02384773700715
9904571.626126839,512.8843848826971
9910062.073595302,519.327963171902
9915552.454322353,525.7812832439666
9921042.67205701,531.831058074888
9926532.834052661,536.487761200397
9932023.249720521,541.102566142632
9937513.727403257,546.465864612913
9943004.204279913,552.4504084360253
9948494.497985201,557.9500753503705
9953984.710195161,563.6277125850795
9959474.834055666,568.6725464118772
9964964.838636959,573.365085438582
9970454.923416017,578.264260698566
9975945.327065542,582.93199840864
9981435.856939461,586.6963976407578
9986926.250282088,591.7249658649289
9992416.410698371,597.5208078893802
9997906.395597825,602.6977367200457
10003396.28807744,608.1443610412148
10008886.020749591,612.9763279098672
10014375.787384491,616.7263698957986
10019865.792838175,620.6033699894474
10025355.870531747,625.4461700970255
10030845.907766405,630.2471245213632
10036335.750596298,635.0201035939435
10041825.534201989,639.6592127677188
10047315.20780336,643.7377532342625
10052804.807085123,647.755083617782
10058294.56402967,652.0938781105857
10063784.635304011,655.7186728936324
10069274.740579864,659.3232214159294
10074764.667467382,663.849581048396
10080254.354366707,668.744749040887
10085743.887942389,673.2811760229306
10091233.353426991,677.9910629487404
10096722.615260169,681.8496626534388
10102212.041881274,685.0827871539828
10107701.649688017,688.6069931040115
10113191.321999,693.1568375588087
10118680.86216991,697.2872445006433
10124170.265165329,701.4897091175253
10129659.604400732,705.4599894114849
10135148.827208798,709.0094090877133
10140638.002824236,712.4910204230905
10146127.427227536,716.3924255923671
10151617.098421667,719.1696605060652
10157106.7289128,722.5627345519088
10162596.162187194,726.7384072672953
10168085.327311756,730.9148039731463
10173574.409315614,735.0606341256521
10179063.380153246,739.0609290134767
10184552.20565489,742.176139775146
10190041.27135985,745.0643521529387
10195530.471375464,748.458861777764
10201019.633828199,752.4223174460617
10206508.720022393,756.1007788781827
10211997.639407324,759.8066250043389
10217486.488834348,763.2852446374715
10222975.25834316,766.4647305310004
10228464.010793967,769.5454642900106
10233953.08481171,773.0260372731741
10239442.316674234,775.4232806634742
10244931.433336936,778.6810867137283
10250420.349496579,782.5340631154567
10255909.031077035,786.1764236644535
10261397.675852582,789.9857519334273
10266886.157985527,793.3987309660092
10272374.581110531,796.0624608900803
10277863.243783034,798.7961655242212
10283351.991676008,801.8851874547861
10288840.689785436,805.4487131408823
10294329.271560857,808.8110129218951
10299817.719238913,812.1322877178563
10305306.123132775,815.1468432455952
10310794.432609638,817.9446237719043
10316282.816984784,820.9302605121684
10321771.532765752,823.7318941892132
10327260.32817437,825.9508879967966
10332748.963482076,829.0862042824108
10338237.368442489,832.6695385461117
10343725.613948135,835.9879817015786
10349213.793608995,839.4418518034827
10354701.782645892,842.3705227066248
10360189.840613646,844.6947584282525
