Event_Midpoint_s,Duration_s
9467414.300165812,427.5454741983035
9478259.088956108,447.2738299281709
9489103.037765255,465.3383496294782
9499946.574649723,478.66885632741196
9510790.275271649,494.8401989046333
9516211.959876157,502.2961818615636
9521633.397033723,510.0979850670474
9527054.69619533,517.235542462317
9537896.865566742,530.102569391936
9548739.6749764,542.6869303475655
9554160.95720442,549.50410822199
9559581.888241826,557.1686546150459
9565002.475538338,564.2940572732284
9570422.909441931,571.5971339171172
9575843.155005325,578.2406476357374
9581263.22960465,583.5187957110202
9586683.50175114,588.8128143824314
9592103.71784524,594.6858111303884
9597523.872586705,601.4881582770311
9602943.890757263,607.6738339913193
9608363.632494135,613.621406387967
9613783.2738752,619.2876627042199
9619202.737774655,624.3995712297256
9624622.104133531,629.5829214376656
9630041.720184326,635.433081934358
9635461.584596653,639.585087611991
9640881.190335669,645.114813297837
9646300.443734428,651.4330446022266
9651719.347488934,657.3389092016744
9657138.118891548,663.3927446288453
9662556.661143187,668.8932815495843
9667975.075946903,673.2001302896858
9673393.660756769,677.4720727378696
9678812.230496842,682.5851220037728
9684230.668837884,688.1576672269309
9689649.005329968,693.2571956992044
9695067.045093028,698.490464501515
9700484.997564513,703.2743523842655
9705902.740386928,707.6571724006848
9711320.421326714,712.0369651287385
9716738.352910064,717.1341286355138
9722156.479160689,720.7108162977715
9727574.313448394,725.5321339783071
9732991.819607357,730.9350454209502
9738409.032797396,735.9369967095788
9743826.086757975,741.0668940807291
9749242.92908196,745.7591970576942
9754659.623895457,749.4249388914548
9760076.501957124,753.3180681567812
9765493.348404828,757.6747674504129
9770910.105400488,762.6635657515003
9776326.6650691,767.0642767734262
9781742.98741915,771.4749314752556
9787159.162300263,775.6258321136834
9792575.175158324,779.4208925342505
9797991.09333339,783.3127222276867
9803407.288034206,787.6104872882637
9808823.625882322,790.8213963823212
9814239.706442017,795.0369122697944
9819655.444567146,799.7982394270962
9825070.85016759,804.2313925762414
9830486.132044781,808.751111139768
9835901.149092007,812.9179140757433
9841316.070609884,816.1066158535737
9846731.172212826,819.4203061813903
9852146.268162927,823.4265098203891
9857561.190384727,827.6681946688249
9862975.9494817,831.5460363630868
9868390.443270935,835.6548203047481
9873804.819458405,839.3294806947747
9879218.985495271,842.742385263677
9884633.082533091,846.1697197840663
9890047.440880766,850.085118045251
9895461.919063307,852.9669211138162
9900876.113184847,856.8203225116815
9906289.970628897,861.1077612922213
9911703.555073665,865.0081980703952
9917116.974045081,869.0203198518393
9922530.165585397,872.6850568414815
9927943.243218709,875.534045435566
9933356.471927132,878.5851302383616
9938769.688914934,882.1089651037305
9944182.776794866,885.9679592379124
9949595.688231956,889.4724136253653
9955008.404903708,893.0749117949972
9960420.933287712,896.3953268067521
9965833.312776782,899.4737156224219
9971245.60641131,902.6666851251584
9976658.18056326,906.0528315934857
9982070.816196812,908.7494779879371
9987483.196734644,912.2297025776887
9992895.21721168,916.0895197747755
9998306.914878702,919.6475678969636
10003718.492947849,923.2884858973175
10009129.784980439,926.6271380560427
10014541.011631249,929.1852503112523
10019952.396878604,931.8691290145952
10025363.79436271,935.2103969542663
10030774.982450541,938.7138987773002
10036185.992849128,941.9006261302593
10041596.757947981,945.3352525420206
10047007.377169294,948.291787729268
10052417.800503451,951.1522596216535
10057828.15814445,954.0241066903773
10063238.784014704,957.2130207258396
10068649.457132049,959.6186559964635
10074059.846753994,962.8839811518925
10079469.88032477,966.4934828161854
10084879.631538749,969.653188400515
10090289.216692068,973.0366843974753
10095698.556221064,975.995923707544
10101107.81764737,978.3549224141639
10106517.229085362,980.9567287138273
10111926.586905587,984.0018859092135
10117335.856131427,987.2055921806115
10122744.887636192,990.2517026301671
10128153.642285109,993.2911912943389
10133562.281756392,996.0899899578393
10138970.70493059,998.667849359359
10144379.09200157,1001.3793901940605
10149787.697067833,1004.2176849921851
10155196.370772656,1006.5133784000938
10160604.716581121,1009.5062405331887
10166012.694656797,1012.8061182037322
10171420.433508484,1015.7426975686035
10176827.977497179,1018.8325832062843
10182235.28326428,1021.5532157750008
10187642.5143211,1023.7200208464901
10193049.889759824,1026.1116809909115
10198457.208325528,1028.8294926757699
10203864.442446856,1031.7666438607853
10209271.415578889,1034.5964968942706
10214678.135701776,1037.4417695328957
10220084.718976786,1040.04817642278
10225491.102294512,1042.4488405895045
10230897.451634515,1045.0055354565477
10236304.015432186,1047.6396879172362
10241710.62738286,1049.831400718884
10247116.909839666,1052.6225403057342
10252522.821627762,1055.6583709307552
10257928.490151227,1058.3723610196503
10263333.967357721,1061.226998669601
10268739.193508727,1063.7458983198133
10274144.35424543,1065.7491667613974
10279549.655531848,1067.9597699776796
10284954.911145294,1070.4831386118324
10290360.040442565,1073.1979158059069
10295764.899267111,1075.796114238832
10301169.5203873,1078.472173900343
10306573.987919122,1080.8717596025756
10311978.267059267,1083.118678796676
10317382.506773612,1085.5057672967957
10322786.967075858,1087.9695049302702
10328191.454926884,1090.0236404373413
10333595.622834304,1092.6380976657076
10338999.422888378,1095.4730196489925
10344402.96365824,1097.9983624487575
10349806.318437228,1100.6723113988273
10355209.406136392,1103.0227317217134
10360612.433420697,1104.8918980045717
10366015.598541165,1106.948014918883
10371418.719413692,1109.3418600745836
10376821.677576711,1111.870260448199
10382224.364533905,1114.2799309420711
10387626.81402332,1116.8057522448337
10393029.10049549,1119.0290170139226
10398431.19895558,1121.1411448228707
10403833.250748055,1123.3712143202813
10409235.52254374,1125.6848020368554
10414637.812554283,1127.6018702199972
10420039.787199736,1130.0593462114941
10425441.393371662,1132.7280097676592
10430842.725598408,1135.0925269150976
10436243.872720698,1137.614179931406
10441644.741313267,1139.8237851464942
10447045.548834257,1141.5794294164486
10452446.48913465,1143.4968991468425
10457847.38310998,1145.7675377169921
10463248.093715446,1148.1443551835516
10468648.532995049,1150.4073951459084
10474048.731998423,1152.8010775476364
10479448.758914197,1154.8856133540085
10484848.594713164,1156.8823286733266
10490248.375319915,1158.9782883922885
10495648.373388547,1161.1649944852288
10501048.381337957,1162.9651079170135
10506448.072402718,1165.2823240899672
10511847.38970417,1167.7996098248072
10517246.4222614,1170.0261947081601
10522645.267712014,1172.40798908784
10528043.82731364,1174.4975566092592
10533442.3212802,1176.1540112740995
10538840.942906342,1177.945425476711
10544239.510602072,1180.0804714387014
10549637.88258806,1182.329345391642
10555035.985828875,1184.4764496495345
10560433.846945226,1186.7518328525368
10565831.527015682,1188.7304893574465
10571229.011477865,1190.6263274658077
10576626.43370582,1192.6102434002128
10582024.06969529,1194.692767093881
10587421.707198162,1196.3980927818504
10592819.020730074,1198.5887865967738
10598215.950998671,1200.9641496981521
10603612.589718496,1203.0714761591385
10609009.036553094,1205.3221796679552
10614405.194498405,1207.309186103017
10619801.277945232,1208.8781214112323
10625197.483020253,1210.5555379171487
10630593.62257719,1212.5446077054667
10635989.567143314,1214.6865215474431
10641385.244676296,1216.7467048210915
10646780.677493565,1218.9153959542823
10652175.920484215,1220.8163088725132
10657570.960466597,1222.6233990679916
10662965.930326492,1224.5115238697288
10668361.102357993,1226.5010580179814
10673756.275665693,1228.1229546273457
10679151.110847015,1230.1979383265584
10684545.549088074,1232.447362257592
10689939.691958033,1234.4510009018284
10695333.634472378,1236.5858839860714
10700727.28985609,1238.4857816145345
10706120.85607664,1239.9794302852615
10711514.538733868,1241.5596338784849
10716908.133542504,1243.415215050804
10722301.549344787,1245.465567903181
10727694.70603346,1247.4682573192767
10733087.600028608,1249.5382050126677
10738480.3056514,1251.3778878736164
10743872.786462313,1253.1039391310944
10749265.191779908,1254.8967641169997
10754657.779486492,1256.8034824814874
10760050.377324626,1258.3254852604591
10765442.620910453,1260.294449166214
10770834.455665447,1262.4514086773288
10776225.98621784,1264.3639295180478
10781617.308799632,1266.4130825020375
10787008.342097992,1268.2376942360565
10792399.26912881,1269.670342387674
10797790.30280044,1271.167452213409
10803181.230982719,1272.9568900254567
10808571.98164417,1274.928421626433
10813962.495653598,1276.862285537381
10819352.711013148,1278.841672178743
10824742.747106723,1280.5934332479592
10830132.528512103,1282.246833883497
10835522.210755311,1283.9068497656172
10840912.07818505,1285.7433027220245
10846301.949775402,1287.1316366307829
10851691.483673055,1289.0036111768711
10857080.61660992,1291.0991209878384
10862469.402831865,1292.9339162352762
10867857.98420543,1294.9216159945022
10873246.257135663,1296.6844959467458
10878634.406348875,1298.0596537828317
10884022.648643358,1299.483994406329
10889410.81864085,1301.2626990505867
10894798.728149284,1303.1640698699298
10900186.395714272,1304.952959673336
10905573.776286473,1306.8506124030266
10910960.947094819,1308.4852623875806
10916347.888680134,1310.0744424254297
10921734.6982337,1311.6625535035864
10927121.71598974,1313.4330768821935
10932508.71807539,1314.7896300104112
10937895.399357134,1316.5495490239914
10943281.66532082,1318.5087302881939
10948667.570700394,1320.3350019883183
10954053.261601333,1322.204416684387
10959438.662090186,1323.950118425356
10964823.882155009,1325.2715674585243
10970209.17070865,1326.6719678738525
10975594.38438985,1328.250410020261
10980979.420092355,1330.1937350508153
10986364.161016423,1331.9589957194044
10991748.610684857,1333.6633486755134
10997132.853409115,1335.308085742813
11002516.842369549,1336.7800220269523
11007900.694953619,1338.3026188131798
11013284.68921711,1339.9972460016497
11018668.732061015,1341.2912550888914
11024052.400779305,1342.989848117591
11029435.67301015,1344.8993186941887
11034818.593127707,1346.590122067781
11040201.264982924,1348.407704079313
11045583.644655086,1350.0435273831652
11050965.832930958,1351.3375382092588
11056348.10104193,1352.6541093785163
11061730.28458738,1354.1987577430127
11067112.205259666,1356.0170454750466
11072493.871776914,1357.7196783836935
11077875.25049831,1359.4356783105754
11083256.376160432,1360.99154368249
11088637.273636956,1362.455553259419
11094017.978014495,1363.915221022375
11099398.831227368,1365.5141149364276
11104779.725900704,1366.777706575228
11110160.26917552,1368.3544064408907
11115534.891497748,1349.597957573698
11120934.151020123,1344.204427695985
11126329.896317491,1345.8210717769268
11131724.446117086,1345.36700490588
11137139.921603316,1314.3119193656144
11142550.65532808,1313.4820371196845
11147982.528860707,1283.0713299429233
11153409.415493654,1282.596266445339
11158857.431564966,1253.3969621519789
11164301.488840913,1255.0005877198305
11169745.434311347,1256.461137045876
11175189.26668833,1257.8206589325307
11180633.061298743,1259.1463570386964
11186077.10999533,1260.7014993578123
11191521.28998811,1261.8619834539013
11196965.24894605,1263.3829643696176
11202408.945744766,1265.1030318712183
11207852.438997963,1266.6971020763467
11213295.819077926,1268.3110892926293
11218739.029647548,1269.7847505123834
11224182.20576959,1270.865505213226
11229625.56794472,1272.0046887771448
11235068.962103568,1273.4590509483708
11240512.233933646,1275.037010800566
11245955.372102363,1276.567476664529
11251398.321723113,1278.1282908588814
11256841.18507141,1279.5003951247436
11262283.918624245,1280.7690532581473
11267726.66745073,1282.0747951853798
11273169.668660106,1283.4885482382278
11278612.742999304,1284.614739505525
11284055.600937627,1286.1000580374605
11289498.189221071,1287.7392105995618
11294940.565415945,1289.1735211560563
11300382.846925175,1290.7276411008038
11305824.934031108,1292.0525666229667
11311267.044655904,1293.0634976847691
11316709.331558323,1294.1508366110975
11322151.593103776,1295.5537571250434
11327593.765168557,1297.0433291876388
11333035.761965744,1298.5048314695327
11338477.615661662,1299.9594181610714
11343919.345315581,1301.2095729654548
11349360.977276148,1302.3914462455734
11354802.640360469,1303.642646334719
11360244.602167191,1304.8940886968503
11365686.554702876,1305.950008946412
11371128.308185441,1307.3679799177385
11376569.78890068,1308.9478813198648
11382011.07285682,1310.3162119639933
11387452.254889024,1311.795770864569
11392893.244573466,1313.0063027106223
11398334.290380292,1313.9518238466221
11403775.493500415,1315.0033449584255
11409216.665870117,1316.3216481232994
11414657.746555556,1317.7419845453098
11420098.624788044,1319.0603989898873
11425539.405803101,1320.445720549772
11430980.06621865,1321.574186470173
11436420.618908284,1322.6846891202877
11441861.263859872,1323.903474030556
11447302.169243129,1325.0267123979033
11452743.058635103,1326.0991147646803
11458183.694747014,1327.4541694490963
11463624.040868074,1328.8992958230717
11469064.244391859,1330.223735299052
11474504.316355791,1331.5777537170443
11479944.224255111,1332.6891636923147
11485384.219709314,1333.5767069471055
11490824.326965459,1334.5363888395655
11496264.41923453,1335.8189378013662
11501704.413250092,1337.138488263025
11507144.205754543,1338.456777788898
11512583.883121604,1339.7362458004632
11518023.46319894,1340.8330211057387
11523462.925724963,1341.843188925626
11528902.520407153,1343.0721586568638
11534342.355496105,1344.0351371655158
11539782.147066196,1345.1250295376044
11545221.695035495,1346.4337170387362
11550660.947807703,1347.7840036525427
11556100.068037037,1349.0588587780535
11561539.058580905,1350.3394148674524
11566977.880842147,1351.34626431904
11572416.834994007,1352.1963979760956
11577855.884243345,1353.1181882143956
11583294.902296899,1354.4055047380696
11588733.805695364,1355.6155981091792
11594172.519267894,1356.8535783623813
11599611.10529537,1358.0240702461306
11605049.600724433,1359.0438530627864
11610487.990563167,1359.9696500429295
11615926.55059677,1361.1823157607014
11621365.315256163,1361.9998082968589
11626803.99268859,1363.0646424671859
11632242.441059357,1364.331241332581
11637680.60807516,1365.5918434097734
11643118.641260112,1366.8158046967221
11648556.549847564,1368.0174651838074
11653994.294719402,1368.9234092786198
11659432.197238399,1369.73073260865
11664870.200737033,1370.6724286421172
11670308.104010021,1371.9175760337685
11675745.918996446,1373.0557444635208
11681183.5177531,1374.2417010879994
11686621.022208326,1375.3281539835962
11692058.40318295,1376.288792625398
11697495.715517562,1377.194412073622
11702933.21418367,1378.3421513097599
11708370.917218314,1379.150097839706
11713808.458380375,1380.1618500473792
11719245.769121453,1381.3806785919608
11724682.823301733,1382.5738811265273
11730119.735567985,1383.7289130126608
11735556.527757198,1384.85249086667
11740993.173101943,1385.6774449534246
11746429.987603705,1386.4288814272156
11751866.87584966,1387.2907673891043
11757303.672490729,1388.464087280884
11762740.348243741,1389.5930252099204
11768176.8289225,1390.7001857160833
11773613.230907144,1391.7546339955907
11779049.503866466,1392.65033850063
11784485.715185506,1393.5208552750616
11789922.137810841,1394.5820476366173
11795358.749531874,1395.3236505745201
11800795.182285914,1396.3105952200267
11806231.371057888,1397.4882587197771
11811667.316353131,1398.6067209524524
11817103.128283717,1399.7284842600334
11822538.800788337,1400.7786674585861
11827974.35923211,1401.527396312216
11833410.085949449,1402.2442126876088
11838845.885423196,1403.1340517764472
11844281.578410218,1404.2476879283968
11849717.14907099,1405.311856494489
11855152.501976477,1406.3591508597733
